,Year,Title,Director,Production_Company,Worldwide gross revenue,Inflation adjusted gross,Footfalls,Original language
0,2023,Paathan,Vamshi Paidipally,Sri Venkateswara Creations,"₹1,050.3 crore(US$130 million)","₹1,050.3 crore(US$130 million)",—,Tamil
1,2022,RRR,S. S. Rajamouli,DVV Entertainments,"₹1,200–₹1,258 crore (US$150–$160 million)","₹1,200–₹1,258 crore (US$150–$160 million)",—,Telugu
2,2021,Pushpa: The Rise,Sukumar,Mythri Movie MakersMuttamsetty Media,₹365 crore (US$46 million),₹365 crore (US$46 million),—,Telugu
3,2020,Tanhaji,Om Raut,Ajay Devgn FFilmsT-Series,₹368 crore (US$50 million),₹368 crore (US$50 million),—,Hindi
4,2019,War,Siddharth Anand,Yash Raj Films,₹475 crore (US$67 million),₹502 crore ($71 million) in 2020,—,Hindi
5,2018,2.0,S. Shankar,Lyca Productions,₹800 crore (US$117 million),₹909 crore (US$110 million) in 2020,—,Tamil
6,2017,Baahubali 2: The Conclusion,S. S. Rajamouli,Arka Media Works,"₹1,810 crore (US$278 million)","₹2,057 crore (US$300 million) in 2020",125 million,Telugu
7,2016,Dangal,Nitesh Tiwari,Aamir Khan ProductionsUTV Motion PicturesWalt Disney Studios India,"₹2,024 crore (US$311 million)","₹2,301 crore ($336 million) in 2020",86.4 million,Hindi
8,2015,Bajrangi Bhaijaan,Kabir Khan,Salman Khan FilmsKabir Khan Films,₹969.06 crore (US$151.06 million),"₹1,242 crore (US$160 million) in 2020",—,Hindi
9,2014,PK,Rajkumar Hirani,Vinod Chopra Films,₹832 crore (US$136.33 million),"₹1,129 crore (US$140 million) in 2020",—,Hindi
10,2013,Dhoom 3,Vijay Krishna Acharya,Yash Raj Films,₹589.2 crore (US$100.55 million),₹851 crore (US$110 million) in 2020,—,Hindi
11,2012,Ek Tha Tiger,Kabir Khan,Yash Raj Films,₹334.39 crore (US$62.58 million),₹536 crore (US$67 million) in 2020,—,Hindi
12,2011,Bodyguard,Siddique,Reliance Entertainment,₹234 crore (US$50.14 million),₹410 crore (US$51 million) in 2020,,Hindi
13,2010,Enthiran,S. Shankar,Sun Pictures,₹289 crore (US$63.2 million),₹551 crore (US$69 million) in 2020,—,Tamil
14,2009,3 Idiots,Rajkumar Hirani,Vinod Chopra Films,₹459.96 crore (US$95.02 million),₹983 crore (US$120 million) in 2020,—,Hindi
15,2008,Ghajini,A. R. Murugadoss,Geetha Arts,₹232 crore (US$53.33 million),₹549 crore (US$69 million) in 2020,—,Hindi
16,2007,Om Shanti Om,Farah Khan,Red Chillies Entertainment,₹149.87 crore ($40 million),₹384 crore ($52 million) in 2020,—,Hindi
17,2006,Dhoom 2,Sanjay Gadhvi,Yash Raj Films,₹151.39 crore (US$33.41 million),₹413 crore (US$52 million) in 2020,—,Hindi
18,2005,No Entry,Anees Bazmee,SK Film Entertainment,₹74.13 crore (US$16.81 million),₹214 crore (US$27 million) in 2020,—,Hindi
19,2004,Veer-Zaara,Yash Chopra,Yash Raj Films,₹97.64 crore (US$21.55 million),₹294 crore (US$37 million) in 2020,—,Hindi
20,2003,Kal Ho Naa Ho,Nikhil Advani,Dharma Productions,₹86.09 crore (US$18.48 million),₹352 crore (US$44 million) in 2020,—,Hindi
21,2002,Devdas,Sanjay Leela Bhansali,Red Chillies Entertainment,₹168 crore ($35 million),₹949 crore (US$120 million) in 2020,—,Hindi
22,2001,Kabhi Khushi Kabhie Gham…,Karan Johar,Dharma Productions,₹135.53 crore (US$28.72 million),₹871 crore (US$110 million) in 2020,—,Hindi
23,2000,Mohabbatein,Aditya Chopra,Yash Raj Films,₹90.01 crore (US$20.03 million),₹659 crore (US$83 million) in 2020,—,Hindi
24,1999,Hum Saath-Saath Hain,Sooraj Barjatya,Rajshri Productions,₹81.71 crore (US$18.98 million),₹682 crore (US$85 million) in 2020,—,Hindi
25,1998,Kuch Kuch Hota Hai,Karan Johar,Dharma Productions,₹106.74 crore (US$25.87 million),₹931 crore (US$120 million) in 2020,37.2 million,Hindi
26,1997,Dil To Pagal Hai,Yash Chopra,Yash Raj Films,₹71.87 crore (US$19.79 million),₹696 crore (US$87 million) in 2020,30.1 million,Hindi
27,1996,Raja Hindustani,Dharmesh Darshan,Cineyug,₹87.5 crore (US$24.7 million),₹952 crore (US$120 million) in 2020,41 million+,Hindi
28,1995,Dilwale Dulhania Le Jayenge,Aditya Chopra,Yash Raj Films,₹200 crore (US$61.68 million),"₹1,605 crore (US$200 million) in 2020",49.4 million+,Hindi
29,1994,Hum Aapke Hain Koun..!,Sooraj Barjatya,Rajshri Productions,₹250 crore ($80 million),"₹2,026 crore (US$250 million) in 2020",75.3 million+,Hindi
30,1993,Aankhen,David Dhawan,Chiragdeep International,₹25.25 crore (US$8.03 million),₹644 crore (US$81 million) in 2020,28.6 million,Hindi
31,1992,Beta,Indra Kumar,Maruti International,₹23.5 crore (US$9.07 million),₹616 crore (US$77 million) in 2020,35 million,Hindi
32,1991,Saajan,Lawrence D’Souza,Eros Entertainment,₹18 crore (US$7.93 million),₹486 crore (US$61 million) in 2020,29 million+,Hindi
33,1990,Dil,Indra Kumar,Maruti International,₹18 crore (US$10.29 million),₹507 crore (US$63 million) in 2020,30 million,Hindi
34,1989,Maine Pyar Kiya,Sooraj Barjatya,Rajshri Productions,₹28 crore (US$17.26 million),₹831 crore (US$100 million) in 2020,47.5 million+,Hindi
35,1988,Tezaab,N. Chandra,Un­known,₹16 crore (US$11.5 million),₹498 crore (US$62 million) in 2020,29 million+,Hindi
36,1987,Hukumat,Anil Sharma,Shantketan Films,₹11 crore (US$8.49 million),₹356 crore (US$45 million) in 2020,16 million,Hindi
37,1986,Karma,Subhash Ghai,Mukta Arts,₹14 crore (US$11.11 million),₹470 crore (US$59 million) in 2020,33 million,Hindi
38,1985,Ram Teri Ganga Maili,Raj Kapoor,R. K. Films,₹19 crore (US$15.37 million),₹650 crore (US$81 million) in 2020,40 million,Hindi
39,1984,Jagir,Pramod Chakravorty,Pramod Films,₹35.32 crore ($28.01 million),₹511 crore ($69 million) in 2021,38 million+,Hindi
40,1983,Coolie,Manmohan Desai,Aasia Films,₹18 crore (US$17.76 million),₹665 crore (US$83 million) in 2020,70 million,Hindi
41,1982,Disco Dancer,Babbar Subhash,B. Subhash Movie Unit,₹100.7 crore ($82.39 million),"₹1,711 crore ($231 million) in 2021",135 million,Hindi
42,1981,Kranti,Manoj Kumar,V.I.P. Films,₹20 crore ($23.1 million),₹810 crore (US$100 million) in 2020,60 million,Hindi
